Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2012Q4,S92000003,d,S08000020,Cervical,,5,,5,
2012Q4,S92000003,d,S08000020,Colorectal,,59,,55,
2012Q4,S92000003,d,S08000020,Head & Neck,,6,,5,
2012Q4,S92000003,d,S08000020,Lung,,54,,52,
2012Q4,S92000003,d,S08000020,Lymphoma,,12,,12,
2012Q4,S92000003,d,S08000020,Melanoma,,6,,5,
2012Q4,S92000003,d,S08000020,Ovarian,,7,,7,
2012Q4,S92000003,d,S08000020,Upper GI,,41,,41,
2012Q4,S92000003,d,S08000020,Urological,,41,,35,
2012Q4,S92000003,d,S08000022,Breast,,47,,47,
2012Q4,S92000003,d,S08000022,Colorectal,,33,,30,
2012Q4,S92000003,d,S08000022,Head & Neck,,9,,6,
2012Q4,S92000003,d,S08000022,Lung,,40,,36,
2012Q4,S92000003,d,S08000022,Lymphoma,,10,,10,
2012Q4,S92000003,d,S08000022,Melanoma,,11,,11,
2012Q4,S92000003,d,S08000022,Ovarian,,3,,3,
2012Q4,S92000003,d,S08000022,Upper GI,,14,,14,
2012Q4,S92000003,d,S08000022,Urological,,16,,14,
2012Q4,S92000003,d,S08000024,Breast,,170,,170,
2012Q4,S92000003,d,S08000024,Cervical,,4,,4,
2012Q4,S92000003,d,S08000024,Colorectal,,112,,104,
2012Q4,S92000003,d,S08000024,Head & Neck,,18,,18,
2012Q4,S92000003,d,S08000024,Lung,,106,,98,
2012Q4,S92000003,d,S08000024,Lymphoma,,17,,16,
2012Q4,S92000003,d,S08000024,Melanoma,,22,,22,
2012Q4,S92000003,d,S08000024,Ovarian,,11,,11,
2012Q4,S92000003,d,S08000024,Upper GI,,77,,76,
2012Q4,S92000003,d,S08000024,Urological,,76,,67,
2012Q4,S92000003,d,S08000025,Breast,,2,,2,
2012Q4,S92000003,d,S08000025,Colorectal,,1,,1,
2012Q4,S92000003,d,S08000025,Melanoma,,1,,1,
2012Q4,S92000003,d,S08000026,Colorectal,,7,,7,
2012Q4,S92000003,d,S08000026,Melanoma,,1,,1,
2012Q4,S92000003,d,S08000026,Upper GI,,1,,1,
2012Q4,S92000003,d,S08000026,Urological,,2,,2,
2012Q4,S92000003,d,S08000028,Colorectal,,1,,1,
2012Q4,S92000003,d,S08000028,Lung,,2,,2,
2012Q4,S92000003,d,S08000028,Melanoma,,2,,2,
2012Q4,S92000003,d,S08000028,Upper GI,,1,,1,
2012Q4,S92000003,d,S08000029,Breast,,27,,27,
2012Q4,S92000003,d,S08000029,Cervical,,3,,3,
2012Q4,S92000003,d,S08000029,Colorectal,,32,,32,
2012Q4,S92000003,d,S08000029,Lung,,26,,26,
2012Q4,S92000003,d,S08000029,Lymphoma,,5,,4,
2012Q4,S92000003,d,S08000029,Melanoma,,3,,3,
2012Q4,S92000003,d,S08000029,Ovarian,,8,,7,
2012Q4,S92000003,d,S08000029,Upper GI,,11,,11,
2012Q4,S92000003,d,S08000029,Urological,,31,,31,
2012Q4,S92000003,d,S08000030,Breast,,62,,61,
2012Q4,S92000003,d,S08000030,Cervical,,4,,4,
2012Q4,S92000003,d,S08000030,Colorectal,,30,,28,
2012Q4,S92000003,d,S08000030,Head & Neck,,6,,5,
2012Q4,S92000003,d,S08000030,Lung,,41,,38,
2012Q4,S92000003,d,S08000030,Melanoma,,6,,6,
2012Q4,S92000003,d,S08000030,Ovarian,,6,,6,
2012Q4,S92000003,d,S08000030,Upper GI,,16,,16,
2012Q4,S92000003,d,S08000030,Urological,,31,,29,
2012Q4,S92000003,d,S08000031,Breast,,264,,263,
2012Q4,S92000003,d,S08000031,Cervical,,11,,10,
2012Q4,S92000003,d,S08000031,Colorectal,,111,,105,
2012Q4,S92000003,d,S08000031,Head & Neck,,56,,53,
2012Q4,S92000003,d,S08000031,Lung,,187,,175,
2012Q4,S92000003,d,S08000031,Lymphoma,,17,,16,
2012Q4,S92000003,d,S08000031,Melanoma,,20,,20,
2012Q4,S92000003,d,S08000031,Ovarian,,17,,17,
2012Q4,S92000003,d,S08000031,Upper GI,,100,,90,
2012Q4,S92000003,d,S08000031,Urological,,100,,89,
2012Q4,S92000003,d,S08000032,Breast,,65,,65,
2012Q4,S92000003,d,S08000032,Cervical,,4,,4,
2012Q4,S92000003,d,S08000032,Colorectal,,40,,38,
2012Q4,S92000003,d,S08000032,Head & Neck,,5,,5,
2012Q4,S92000003,d,S08000032,Lung,,33,,33,
2012Q4,S92000003,d,S08000032,Lymphoma,,10,,10,
2012Q4,S92000003,d,S08000032,Melanoma,,10,,8,
2012Q4,S92000003,d,S08000032,Ovarian,,3,,3,
2012Q4,S92000003,d,S08000032,Upper GI,,25,,25,
2012Q4,S92000003,d,S08000032,Urological,,41,,40,
2012Q4,S92000003,d,SB0801,Lung,,37,,32,
2013Q1,S92000003,d,S08000015,Breast,,72,,72,
2013Q1,S92000003,d,S08000015,Cervical,,2,,2,
2013Q1,S92000003,d,S08000015,Colorectal,,31,,28,
2013Q1,S92000003,d,S08000015,Head & Neck,,11,,11,
2013Q1,S92000003,d,S08000015,Lung,,37,,37,
2013Q1,S92000003,d,S08000015,Lymphoma,,6,,6,
2013Q1,S92000003,d,S08000015,Melanoma,,9,,9,
2013Q1,S92000003,d,S08000015,Ovarian,,3,,3,
2013Q1,S92000003,d,S08000015,Upper GI,,26,,26,
2013Q1,S92000003,d,S08000015,Urological,,35,,34,
2013Q1,S92000003,d,S08000016,Breast,,12,,12,
2013Q1,S92000003,d,S08000016,Colorectal,,9,,8,
2013Q1,S92000003,d,S08000016,Lung,,8,,8,
2013Q1,S92000003,d,S08000016,Lymphoma,,4,,4,
2013Q1,S92000003,d,S08000016,Melanoma,,4,,4,
2013Q1,S92000003,d,S08000016,Ovarian,,8,,8,
2013Q1,S92000003,d,S08000016,Upper GI,,7,,7,
2013Q1,S92000003,d,S08000016,Urological,,7,,7,
2013Q1,S92000003,d,S08000017,Breast,,21,,21,
2013Q1,S92000003,d,S08000017,Cervical,,1,,1,
2013Q1,S92000003,d,S08000017,Colorectal,,18,,18,
2013Q1,S92000003,d,S08000017,Lung,,13,,13,
2013Q1,S92000003,d,S08000017,Lymphoma,,3,,3,
2013Q1,S92000003,d,S08000017,Melanoma,,6,,6,
2013Q1,S92000003,d,S08000017,Ovarian,,2,,2,
2013Q1,S92000003,d,S08000017,Upper GI,,12,,12,
2013Q1,S92000003,d,S08000017,Urological,,14,,14,
2013Q1,S92000003,d,S08000019,Breast,,22,,20,
2013Q1,S92000003,d,S08000019,Colorectal,,36,,34,
2013Q1,S92000003,d,S08000019,Lung,,25,,25,
2013Q1,S92000003,d,S08000019,Lymphoma,,4,,4,
2013Q1,S92000003,d,S08000019,Melanoma,,6,,6,
2013Q1,S92000003,d,S08000019,Ovarian,,1,,1,
2013Q1,S92000003,d,S08000019,Upper GI,,22,,22,
2013Q1,S92000003,d,S08000019,Urological,,20,,18,
2013Q1,S92000003,d,S08000020,Breast,,76,,76,
2013Q1,S92000003,d,S08000020,Cervical,,5,,5,
2013Q1,S92000003,d,S08000020,Colorectal,,44,,41,
2013Q1,S92000003,d,S08000020,Head & Neck,,8,,5,
2013Q1,S92000003,d,S08000020,Lung,,67,,62,
2013Q1,S92000003,d,S08000020,Lymphoma,,11,,5,
2013Q1,S92000003,d,S08000020,Melanoma,,6,,5,
2013Q1,S92000003,d,S08000020,Ovarian,,8,,8,
2013Q1,S92000003,d,S08000020,Upper GI,,37,,32,
2013Q1,S92000003,d,S08000020,Urological,,34,,28,
2013Q1,S92000003,d,S08000022,Breast,,40,,37,
2013Q1,S92000003,d,S08000022,Cervical,,2,,2,
2013Q1,S92000003,d,S08000022,Colorectal,,29,,24,
2013Q1,S92000003,d,S08000022,Head & Neck,,3,,3,
2013Q1,S92000003,d,S08000022,Lung,,23,,21,
2013Q1,S92000003,d,S08000022,Lymphoma,,7,,7,
2013Q1,S92000003,d,S08000022,Melanoma,,4,,4,
2013Q1,S92000003,d,S08000022,Ovarian,,4,,4,
2013Q1,S92000003,d,S08000022,Upper GI,,23,,22,
2013Q1,S92000003,d,S08000022,Urological,,15,,11,
2013Q1,S92000003,d,S08000024,Breast,,141,,141,
2013Q1,S92000003,d,S08000024,Cervical,,10,,9,
2013Q1,S92000003,d,S08000024,Colorectal,,110,,101,
2013Q1,S92000003,d,S08000024,Head & Neck,,27,,25,
2013Q1,S92000003,d,S08000024,Lung,,95,,82,
2013Q1,S92000003,d,S08000024,Lymphoma,,15,,14,
2013Q1,S92000003,d,S08000024,Melanoma,,15,,15,
2013Q1,S92000003,d,S08000024,Ovarian,,9,,9,
2013Q1,S92000003,d,S08000024,Upper GI,,63,,62,
2013Q1,S92000003,d,S08000024,Urological,,63,,61,
2013Q1,S92000003,d,S08000025,Breast,,1,,1,
2013Q1,S92000003,d,S08000025,Colorectal,,1,,1,
2013Q1,S92000003,d,S08000026,Breast,,3,,3,
2013Q1,S92000003,d,S08000026,Lung,,1,,1,
2013Q1,S92000003,d,S08000026,Upper GI,,3,,3,
2013Q1,S92000003,d,S08000026,Urological,,4,,4,
2013Q1,S92000003,d,S08000028,Breast,,2,,2,
2013Q1,S92000003,d,S08000028,Lung,,1,,1,
2013Q1,S92000003,d,S08000028,Upper GI,,4,,4,
2013Q1,S92000003,d,S08000028,Urological,,1,,1,
2013Q1,S92000003,d,S08000029,Breast,,29,,29,
2013Q1,S92000003,d,S08000029,Cervical,,2,,2,
2013Q1,S92000003,d,S08000029,Colorectal,,24,,24,
2013Q1,S92000003,d,S08000029,Head & Neck,,1,,1,
2013Q1,S92000003,d,S08000029,Lung,,25,,25,
2013Q1,S92000003,d,S08000029,Lymphoma,,11,,11,
2013Q1,S92000003,d,S08000029,Melanoma,,5,,5,
2013Q1,S92000003,d,S08000029,Ovarian,,6,,5,
2013Q1,S92000003,d,S08000029,Upper GI,,11,,11,
2013Q1,S92000003,d,S08000029,Urological,,27,,27,
2013Q1,S92000003,d,S08000030,Breast,,68,,62,
2013Q1,S92000003,d,S08000030,Cervical,,3,,2,
2013Q1,S92000003,d,S08000030,Colorectal,,32,,31,
2013Q1,S92000003,d,S08000030,Head & Neck,,3,,2,
2013Q1,S92000003,d,S08000030,Lung,,37,,35,
2013Q1,S92000003,d,S08000030,Lymphoma,,1,,1,
2013Q1,S92000003,d,S08000030,Melanoma,,6,,6,
2013Q1,S92000003,d,S08000030,Ovarian,,7,,6,
2013Q1,S92000003,d,S08000030,Upper GI,,24,,23,
2013Q1,S92000003,d,S08000030,Urological,,40,,38,
2013Q1,S92000003,d,S08000031,Breast,,213,,209,
2013Q1,S92000003,d,S08000031,Cervical,,5,,4,
2013Q1,S92000003,d,S08000031,Colorectal,,103,,92,
2013Q1,S92000003,d,S08000031,Head & Neck,,40,,39,
2013Q1,S92000003,d,S08000031,Lung,,141,,134,
2013Q1,S92000003,d,S08000031,Lymphoma,,25,,23,
2013Q1,S92000003,d,S08000031,Melanoma,,21,,21,
2013Q1,S92000003,d,S08000031,Ovarian,,17,,17,
2013Q1,S92000003,d,S08000031,Upper GI,,92,,78,
2013Q1,S92000003,d,S08000031,Urological,,102,,92,
2013Q1,S92000003,d,S08000032,Breast,,38,,38,
2013Q1,S92000003,d,S08000032,Cervical,,1,,1,
2013Q1,S92000003,d,S08000032,Colorectal,,42,,41,
2013Q1,S92000003,d,S08000032,Head & Neck,,6,,6,
2013Q1,S92000003,d,S08000032,Lung,,30,,30,
2013Q1,S92000003,d,S08000032,Lymphoma,,9,,9,
2013Q1,S92000003,d,S08000032,Melanoma,,14,,14,
2013Q1,S92000003,d,S08000032,Ovarian,,2,,2,
2013Q1,S92000003,d,S08000032,Upper GI,,19,,19,
2013Q1,S92000003,d,S08000032,Urological,,46,,43,
2013Q1,S92000003,d,SB0801,Colorectal,,1,,1,
2013Q1,S92000003,d,SB0801,Lung,,39,,33,
2013Q2,S92000003,d,S08000015,Breast,,78,,78,
2013Q2,S92000003,d,S08000015,Cervical,,1,,1,
2013Q2,S92000003,d,S08000015,Colorectal,,38,,36,
2013Q2,S92000003,d,S08000015,Head & Neck,,9,,8,
2013Q2,S92000003,d,S08000015,Lung,,55,,54,
2013Q2,S92000003,d,S08000015,Lymphoma,,3,,3,
2013Q2,S92000003,d,S08000015,Melanoma,,7,,7,
2013Q2,S92000003,d,S08000015,Ovarian,,2,,2,
2013Q2,S92000003,d,S08000015,Upper GI,,33,,33,
2013Q2,S92000003,d,S08000015,Urological,,35,,31,
2013Q2,S92000003,d,S08000016,Breast,,6,,6,
2013Q2,S92000003,d,S08000016,Colorectal,,10,,8,
2013Q2,S92000003,d,S08000016,Lung,,9,,9,
2013Q2,S92000003,d,S08000016,Lymphoma,,2,,2,
2013Q2,S92000003,d,S08000016,Ovarian,,3,,3,
2013Q2,S92000003,d,S08000016,Upper GI,,8,,8,
2013Q2,S92000003,d,S08000016,Urological,,10,,9,
2013Q2,S92000003,d,S08000017,Breast,,17,,17,
2013Q2,S92000003,d,S08000017,Colorectal,,13,,13,
2013Q2,S92000003,d,S08000017,Lung,,8,,8,
2013Q2,S92000003,d,S08000017,Lymphoma,,7,,7,
2013Q2,S92000003,d,S08000017,Melanoma,,2,,2,
2013Q2,S92000003,d,S08000017,Ovarian,,1,,1,
2013Q2,S92000003,d,S08000017,Upper GI,,8,,8,
2013Q2,S92000003,d,S08000017,Urological,,11,,11,
2013Q2,S92000003,d,S08000019,Breast,,37,,35,
2013Q2,S92000003,d,S08000019,Colorectal,,29,,28,
2013Q2,S92000003,d,S08000019,Head & Neck,,5,,5,
2013Q2,S92000003,d,S08000019,Lung,,19,,19,
2013Q2,S92000003,d,S08000019,Lymphoma,,7,,7,
2013Q2,S92000003,d,S08000019,Melanoma,,9,,8,
2013Q2,S92000003,d,S08000019,Ovarian,,2,,1,
2013Q2,S92000003,d,S08000019,Upper GI,,18,,17,
2013Q2,S92000003,d,S08000019,Urological,,19,,19,
2013Q2,S92000003,d,S08000020,Breast,,80,,80,
2013Q2,S92000003,d,S08000020,Cervical,,3,,3,
2013Q2,S92000003,d,S08000020,Colorectal,,50,,32,
2013Q2,S92000003,d,S08000020,Head & Neck,,7,,6,
2013Q2,S92000003,d,S08000020,Lung,,55,,54,
2013Q2,S92000003,d,S08000020,Lymphoma,,4,,3,
2013Q2,S92000003,d,S08000020,Melanoma,,16,,12,
2013Q2,S92000003,d,S08000020,Ovarian,,7,,6,
2013Q2,S92000003,d,S08000020,Upper GI,,36,,35,
2013Q2,S92000003,d,S08000020,Urological,,34,,28,
2013Q2,S92000003,d,S08000022,Breast,,46,,44,
2013Q2,S92000003,d,S08000022,Cervical,,2,,2,
2013Q2,S92000003,d,S08000022,Colorectal,,31,,28,
2013Q2,S92000003,d,S08000022,Head & Neck,,5,,5,
2013Q2,S92000003,d,S08000022,Lung,,29,,27,
2013Q2,S92000003,d,S08000022,Lymphoma,,10,,10,
2013Q2,S92000003,d,S08000022,Melanoma,,11,,11,
2013Q2,S92000003,d,S08000022,Ovarian,,4,,3,
2013Q2,S92000003,d,S08000022,Upper GI,,26,,25,
2013Q2,S92000003,d,S08000022,Urological,,21,,17,
2013Q2,S92000003,d,S08000024,Breast,,152,,152,
2013Q2,S92000003,d,S08000024,Cervical,,8,,6,
2013Q2,S92000003,d,S08000024,Colorectal,,87,,79,
2013Q2,S92000003,d,S08000024,Head & Neck,,20,,20,
2013Q2,S92000003,d,S08000024,Lung,,121,,111,
2013Q2,S92000003,d,S08000024,Lymphoma,,22,,21,
2013Q2,S92000003,d,S08000024,Melanoma,,18,,18,
2013Q2,S92000003,d,S08000024,Ovarian,,6,,6,
2013Q2,S92000003,d,S08000024,Upper GI,,51,,51,
2013Q2,S92000003,d,S08000024,Urological,,51,,41,
2013Q2,S92000003,d,S08000025,Breast,,2,,2,
2013Q2,S92000003,d,S08000025,Colorectal,,1,,1,
2013Q2,S92000003,d,S08000025,Urological,,1,,1,
2013Q2,S92000003,d,S08000026,Breast,,6,,6,
2013Q2,S92000003,d,S08000026,Colorectal,,4,,4,
2013Q2,S92000003,d,S08000026,Lung,,1,,1,
2013Q2,S92000003,d,S08000026,Urological,,5,,5,
2013Q2,S92000003,d,S08000028,Colorectal,,3,,3,
2013Q2,S92000003,d,S08000028,Lung,,2,,2,
2013Q2,S92000003,d,S08000028,Melanoma,,2,,2,
2013Q2,S92000003,d,S08000029,Breast,,25,,25,
2013Q2,S92000003,d,S08000029,Cervical,,4,,4,
2013Q2,S92000003,d,S08000029,Colorectal,,29,,28,
2013Q2,S92000003,d,S08000029,Head & Neck,,1,,1,
2013Q2,S92000003,d,S08000029,Lung,,29,,29,
2013Q2,S92000003,d,S08000029,Lymphoma,,6,,6,
2013Q2,S92000003,d,S08000029,Melanoma,,4,,3,
2013Q2,S92000003,d,S08000029,Ovarian,,5,,5,
2013Q2,S92000003,d,S08000029,Upper GI,,17,,17,
2013Q2,S92000003,d,S08000029,Urological,,30,,27,
2013Q2,S92000003,d,S08000030,Breast,,66,,63,
2013Q2,S92000003,d,S08000030,Cervical,,3,,3,
2013Q2,S92000003,d,S08000030,Colorectal,,35,,33,
2013Q2,S92000003,d,S08000030,Head & Neck,,9,,8,
2013Q2,S92000003,d,S08000030,Lung,,44,,43,
2013Q2,S92000003,d,S08000030,Lymphoma,,2,,1,
2013Q2,S92000003,d,S08000030,Melanoma,,7,,5,
2013Q2,S92000003,d,S08000030,Ovarian,,2,,2,
2013Q2,S92000003,d,S08000030,Upper GI,,36,,36,
2013Q2,S92000003,d,S08000030,Urological,,31,,28,
2013Q2,S92000003,d,S08000031,Breast,,197,,195,
2013Q2,S92000003,d,S08000031,Cervical,,11,,9,
2013Q2,S92000003,d,S08000031,Colorectal,,109,,99,
2013Q2,S92000003,d,S08000031,Head & Neck,,37,,31,
2013Q2,S92000003,d,S08000031,Lung,,161,,152,
2013Q2,S92000003,d,S08000031,Lymphoma,,29,,29,
2013Q2,S92000003,d,S08000031,Melanoma,,36,,34,
2013Q2,S92000003,d,S08000031,Ovarian,,15,,15,
2013Q2,S92000003,d,S08000031,Upper GI,,103,,97,
2013Q2,S92000003,d,S08000031,Urological,,78,,71,
2013Q2,S92000003,d,S08000032,Breast,,56,,55,
2013Q2,S92000003,d,S08000032,Cervical,,3,,3,
2013Q2,S92000003,d,S08000032,Colorectal,,44,,44,
2013Q2,S92000003,d,S08000032,Head & Neck,,6,,6,
2013Q2,S92000003,d,S08000032,Lung,,44,,44,
2013Q2,S92000003,d,S08000032,Lymphoma,,6,,6,
2013Q2,S92000003,d,S08000032,Melanoma,,24,,23,
2013Q2,S92000003,d,S08000032,Upper GI,,23,,23,
2013Q2,S92000003,d,S08000032,Urological,,32,,28,
2013Q2,S92000003,d,SB0801,Lung,,34,,31,
2013Q3,S92000003,d,S08000015,Breast,,69,,69,
2013Q3,S92000003,d,S08000015,Cervical,,4,,4,
2013Q3,S92000003,d,S08000015,Colorectal,,38,,38,
2013Q3,S92000003,d,S08000015,Head & Neck,,6,,4,
2013Q3,S92000003,d,S08000015,Lung,,47,,47,
2013Q3,S92000003,d,S08000015,Lymphoma,,6,,6,
2013Q3,S92000003,d,S08000015,Melanoma,,9,,8,
2013Q3,S92000003,d,S08000015,Ovarian,,3,,2,
2013Q3,S92000003,d,S08000015,Upper GI,,21,,19,
2013Q3,S92000003,d,S08000015,Urological,,37,,36,
2013Q3,S92000003,d,S08000016,Breast,,14,,14,
2013Q3,S92000003,d,S08000016,Colorectal,,22,,20,
2013Q3,S92000003,d,S08000016,Lung,,7,,7,
2013Q3,S92000003,d,S08000016,Lymphoma,,5,,5,
2013Q3,S92000003,d,S08000016,Melanoma,,3,,3,
2013Q3,S92000003,d,S08000016,Ovarian,,3,,3,
2013Q3,S92000003,d,S08000016,Upper GI,,10,,10,
2013Q3,S92000003,d,S08000016,Urological,,6,,6,
2013Q3,S92000003,d,S08000017,Breast,,9,,9,
2013Q3,S92000003,d,S08000017,Colorectal,,18,,18,
2013Q3,S92000003,d,S08000017,Head & Neck,,1,,1,
2013Q3,S92000003,d,S08000017,Lung,,9,,9,
2013Q3,S92000003,d,S08000017,Lymphoma,,3,,3,
2013Q3,S92000003,d,S08000017,Melanoma,,6,,6,
2013Q3,S92000003,d,S08000017,Ovarian,,1,,1,
2013Q3,S92000003,d,S08000017,Upper GI,,9,,9,
2013Q3,S92000003,d,S08000017,Urological,,8,,8,
2013Q3,S92000003,d,S08000019,Breast,,48,,47,
2013Q3,S92000003,d,S08000019,Cervical,,1,,1,
2013Q3,S92000003,d,S08000019,Colorectal,,20,,20,
2013Q3,S92000003,d,S08000019,Head & Neck,,1,,1,
2013Q3,S92000003,d,S08000019,Lung,,27,,27,
2013Q3,S92000003,d,S08000019,Lymphoma,,7,,7,
2013Q3,S92000003,d,S08000019,Melanoma,,6,,5,
2013Q3,S92000003,d,S08000019,Ovarian,,4,,4,
2013Q3,S92000003,d,S08000019,Upper GI,,17,,17,
2013Q3,S92000003,d,S08000019,Urological,,22,,19,
2013Q3,S92000003,d,S08000020,Breast,,96,,95,
2013Q3,S92000003,d,S08000020,Cervical,,4,,4,
2013Q3,S92000003,d,S08000020,Colorectal,,46,,37,
2013Q3,S92000003,d,S08000020,Head & Neck,,8,,4,
2013Q3,S92000003,d,S08000020,Lung,,55,,47,
2013Q3,S92000003,d,S08000020,Lymphoma,,3,,2,
2013Q3,S92000003,d,S08000020,Melanoma,,5,,5,
2013Q3,S92000003,d,S08000020,Ovarian,,9,,9,
2013Q3,S92000003,d,S08000020,Upper GI,,38,,34,
2013Q3,S92000003,d,S08000020,Urological,,37,,32,
2013Q3,S92000003,d,S08000022,Breast,,53,,52,
2013Q3,S92000003,d,S08000022,Cervical,,1,,1,
2013Q3,S92000003,d,S08000022,Colorectal,,30,,28,
2013Q3,S92000003,d,S08000022,Head & Neck,,8,,7,
2013Q3,S92000003,d,S08000022,Lung,,32,,28,
2013Q3,S92000003,d,S08000022,Lymphoma,,11,,11,
2013Q3,S92000003,d,S08000022,Melanoma,,8,,8,
2013Q3,S92000003,d,S08000022,Ovarian,,5,,5,
2013Q3,S92000003,d,S08000022,Upper GI,,19,,19,
2013Q3,S92000003,d,S08000022,Urological,,26,,21,
2013Q3,S92000003,d,S08000024,Breast,,185,,185,
2013Q3,S92000003,d,S08000024,Cervical,,10,,9,
2013Q3,S92000003,d,S08000024,Colorectal,,119,,111,
2013Q3,S92000003,d,S08000024,Head & Neck,,25,,23,
2013Q3,S92000003,d,S08000024,Lung,,96,,89,
2013Q3,S92000003,d,S08000024,Lymphoma,,16,,15,
2013Q3,S92000003,d,S08000024,Melanoma,,28,,27,
2013Q3,S92000003,d,S08000024,Ovarian,,7,,7,
2013Q3,S92000003,d,S08000024,Upper GI,,41,,41,
2013Q3,S92000003,d,S08000024,Urological,,62,,56,
2013Q3,S92000003,d,S08000025,Lung,,1,,1,
2013Q3,S92000003,d,S08000025,Urological,,1,,1,
2013Q3,S92000003,d,S08000026,Breast,,5,,5,
2013Q3,S92000003,d,S08000026,Colorectal,,2,,2,
2013Q3,S92000003,d,S08000026,Lung,,1,,1,
2013Q3,S92000003,d,S08000026,Upper GI,,2,,2,
2013Q3,S92000003,d,S08000026,Urological,,4,,4,
2013Q3,S92000003,d,S08000028,Breast,,1,,1,
2013Q3,S92000003,d,S08000028,Colorectal,,1,,1,
2013Q3,S92000003,d,S08000028,Lung,,3,,3,
2013Q3,S92000003,d,S08000028,Melanoma,,3,,3,
2013Q3,S92000003,d,S08000028,Upper GI,,2,,2,
2013Q3,S92000003,d,S08000028,Urological,,2,,2,
2013Q3,S92000003,d,S08000029,Breast,,32,,32,
2013Q3,S92000003,d,S08000029,Cervical,,3,,2,
2013Q3,S92000003,d,S08000029,Colorectal,,29,,29,
2013Q3,S92000003,d,S08000029,Lung,,30,,30,
2013Q3,S92000003,d,S08000029,Lymphoma,,5,,4,
2013Q3,S92000003,d,S08000029,Melanoma,,6,,6,
2013Q3,S92000003,d,S08000029,Ovarian,,4,,3,
2013Q3,S92000003,d,S08000029,Upper GI,,15,,15,
2013Q3,S92000003,d,S08000029,Urological,,46,,39,
2013Q3,S92000003,d,S08000030,Breast,,77,,75,
2013Q3,S92000003,d,S08000030,Cervical,,11,,11,
2013Q3,S92000003,d,S08000030,Colorectal,,28,,25,
2013Q3,S92000003,d,S08000030,Head & Neck,,2,,2,
2013Q3,S92000003,d,S08000030,Lung,,43,,41,
2013Q3,S92000003,d,S08000030,Lymphoma,,1,,1,
2013Q3,S92000003,d,S08000030,Melanoma,,14,,14,
2013Q3,S92000003,d,S08000030,Ovarian,,13,,12,
2013Q3,S92000003,d,S08000030,Upper GI,,32,,30,
2013Q3,S92000003,d,S08000030,Urological,,29,,29,
2013Q3,S92000003,d,S08000031,Breast,,215,,210,
2013Q3,S92000003,d,S08000031,Cervical,,9,,7,
2013Q3,S92000003,d,S08000031,Colorectal,,93,,87,
2013Q3,S92000003,d,S08000031,Head & Neck,,56,,50,
2013Q3,S92000003,d,S08000031,Lung,,145,,138,
2013Q3,S92000003,d,S08000031,Lymphoma,,29,,28,
2013Q3,S92000003,d,S08000031,Melanoma,,34,,34,
2013Q3,S92000003,d,S08000031,Ovarian,,25,,23,
2013Q3,S92000003,d,S08000031,Upper GI,,96,,80,
2013Q3,S92000003,d,S08000031,Urological,,92,,83,
2013Q3,S92000003,d,S08000032,Breast,,63,,62,
2013Q3,S92000003,d,S08000032,Cervical,,1,,1,
2013Q3,S92000003,d,S08000032,Colorectal,,33,,33,
2013Q3,S92000003,d,S08000032,Head & Neck,,5,,5,
2013Q3,S92000003,d,S08000032,Lung,,36,,36,
2013Q3,S92000003,d,S08000032,Lymphoma,,13,,13,
2013Q3,S92000003,d,S08000032,Melanoma,,20,,17,
2013Q3,S92000003,d,S08000032,Upper GI,,17,,17,
2013Q3,S92000003,d,S08000032,Urological,,12,,9,
2013Q3,S92000003,d,SB0801,Lung,,37,,33,
2013Q4,S92000003,d,S08000015,Breast,,80,,80,
2013Q4,S92000003,d,S08000015,Colorectal,,39,,38,
2013Q4,S92000003,d,S08000015,Head & Neck,,4,,4,
2013Q4,S92000003,d,S08000015,Lung,,58,,58,
2013Q4,S92000003,d,S08000015,Lymphoma,,3,,3,
2013Q4,S92000003,d,S08000015,Melanoma,,7,,7,
2013Q4,S92000003,d,S08000015,Ovarian,,5,,5,
2013Q4,S92000003,d,S08000015,Upper GI,,11,,11,
2013Q4,S92000003,d,S08000015,Urological,,43,,39,
2013Q4,S92000003,d,S08000016,Breast,,11,,11,
2013Q4,S92000003,d,S08000016,Cervical,,3,,3,
2013Q4,S92000003,d,S08000016,Colorectal,,13,,13,
2013Q4,S92000003,d,S08000016,Head & Neck,,2,,1,
2013Q4,S92000003,d,S08000016,Lung,,11,,11,
2013Q4,S92000003,d,S08000016,Lymphoma,,2,,2,
2013Q4,S92000003,d,S08000016,Melanoma,,3,,3,
2013Q4,S92000003,d,S08000016,Ovarian,,4,,4,
2013Q4,S92000003,d,S08000016,Upper GI,,10,,10,
2013Q4,S92000003,d,S08000016,Urological,,12,,12,
2013Q4,S92000003,d,S08000017,Breast,,7,,7,
2013Q4,S92000003,d,S08000017,Colorectal,,10,,10,
2013Q4,S92000003,d,S08000017,Head & Neck,,1,,1,
2013Q4,S92000003,d,S08000017,Lung,,9,,9,
2013Q4,S92000003,d,S08000017,Lymphoma,,2,,2,
2013Q4,S92000003,d,S08000017,Melanoma,,3,,3,
2013Q4,S92000003,d,S08000017,Ovarian,,2,,2,
2013Q4,S92000003,d,S08000017,Upper GI,,7,,7,
2013Q4,S92000003,d,S08000017,Urological,,10,,10,
